Question,Link,Upvotes,Comments,Timestamp,Image,Answer
"Which is the most beautiful bird?",https://www.quora.com/Which-is-the-most-beautiful-bird,559,30,Dec 6,https://qph.fs.quoracdn.net/main-qimg-54603cfeb61548ef371cd6c7973b0982-lq,"There are over 10,000 living bird species in this world to choose from, and truth be told all of them are beautiful. In choosing just one favourite, I must ignore countless other worthy candidates. My choice, surprisingly, is not a super-obscure species from some far-flung jungle, but rather one muc...(more)"
"What is the ugliest animal in the Amazon forest?",https://www.quora.com/What-is-the-ugliest-animal-in-the-Amazon-forest,3069,83,Nov 23,https://qph.fs.quoracdn.net/main-qimg-7f500f29764e790f185f5976a56bf9f7-lq,"With hundreds of thousands of Amazonian species to choose from, this was a tricky one, but I have resolved to nominate the common Surinam toad. What constitutes ugliness is of course a subjective concept, but this amphibian sure won't be winning any conventional beauty contests.  The common Surinam to...(more)"
"We are told that bees are the only pollinators, but is that true?",https://www.quora.com/We-are-told-that-bees-are-the-only-pollinators-but-is-that-true,293,38,Nov 14,https://qph.fs.quoracdn.net/main-qimg-97bfadd46e21713c8d56d2a2221ef001-pjlq,"I don't know which authoritarian Ministry of Truth has been telling you that bees are the only pollinators, but whoever they are, they are incorrect. Pollination is a behaviour which has evolved an incredible number of times in the animal kingdom. Among insects other than bees, we have a plethora of...(more)"
"What country has the most mysterious wildlife?",https://www.quora.com/What-country-has-the-most-mysterious-wildlife,1002,26,Nov 7,https://qph.fs.quoracdn.net/main-qimg-2004e189556d00b129dcd07a6768c231-lq,"There are plenty of good candidates for this question, but the country I'm going to choose is Laos. It's a Southeast Asian land of rugged mountains and humid tropical climes, and though it doesn't get as much attention as its neighbours, it hides a wealth of obscure wildlife. In many ways, Laos is o...(more)"
"What are the most interesting and little-known rodents?",https://www.quora.com/What-are-the-most-interesting-and-little-known-rodents,1347,56,Oct 31,https://qph.fs.quoracdn.net/main-qimg-24dd0e99490e21508edc46bb714e98f1-lq,"Approximately two out of every five mammal species is a rodent. The 2,000+ varieties in this order inhabit pretty much every terrestrial environment on Earth, and quite a few aquatic environments too. Despite their diversity and abundance, you rarely hear rodents being discussed as interesting anima...(more)"
"What animal was the first to evolve a hard bony head for head butting?",https://www.quora.com/What-animal-was-the-first-to-evolve-a-hard-bony-head-for-head-butting,264,13,Oct 26,https://qph.fs.quoracdn.net/main-qimg-0b8861476e3af278f4ac9420d8ad9fc0-lq,"The adaptation you're talking about is called pachyostosis: the thickening and densifying of bone. Many seagoing creatures have pachyostosis in their chest, the heavy mass of bone serving to counter the pull of the buoyant lungs. However, in land animals, pachyostosis is usually used to fortify the...(more)"
"What Prehistoric Animals are even smaller than people expect?",https://ancient-life.quora.com/What-Prehistoric-Animals-are-even-smaller-than-people-expect,714,25,Oct 24,https://qph.fs.quoracdn.net/main-qimg-494698b19e0c088b669785165154c656-lq,"The first example that springs to mind would be Velociraptor. It's one of the most famous dinosaurs, thanks in part to its role in the Jurassic Park movies, but the real animal was quite different to what the average person might think it was like. Of course, we now know that Velociraptor was covere...(more)"
"What real life animals are the most similar to the Xenomorphs from Alien?",https://www.quora.com/What-real-life-animals-are-the-most-similar-to-the-Xenomorphs-from-Alien,1106,56,Oct 18,https://qph.fs.quoracdn.net/main-qimg-0a261f4a457cb94876c845f81fdd8ae5-lq,"Thankfully, we haven't come across any Xenomorphs in the real natural world. Yet. However, there certainly are a handful of very real creatures which have characteristics in common with the movie monsters. One group of animals that came to mind for me would be caecilians.  Though they could be mistake...(more)"
"How do we know what color the dinosaurs were to draw them?",https://www.quora.com/How-do-we-know-what-color-the-dinosaurs-were-to-draw-them,1193,49,Oct 14,https://qph.fs.quoracdn.net/main-qimg-c87f8d213f74aa12b68290ebf1dd4402-lq,"We actually already know the colour patterns of nine extinct dinosaur species: Sinosauropteryx, Anchiornis, Archaeopteryx, Microraptor, Caihong, Cruralispenna, Inkayacu and Borealopelta, which is illustrated below. The microscopic imprints of melanosomes (pigment-storing structures within the cells)...(more)"
"Can Antarctica have frozen dinosaur fossil in it?",https://www.quora.com/Can-Antarctica-have-frozen-dinosaur-fossil-in-it,831,41,Oct 9,https://qph.fs.quoracdn.net/main-qimg-a74e05bd84fa15449831f8bb27a34639-lq,"Full question: Can Antarctica have frozen dinosaur fossils in it? With frozen mammoths being discovered every now and then, can there be a possibility that we can hit upon a frozen dinosaur with all its tissues nearly intact?  Though it would be an amazing discovery to make, it is likely impossible th...(more)"
"What place on Earth has the most beautiful vegetation?",https://www.quora.com/What-place-on-Earth-has-the-most-beautiful-vegetation,1384,23,Oct 2,https://qph.fs.quoracdn.net/main-qimg-c86f3e0413ab7c10d888ef724543c6c0-lq,"In northeastern China, a great watercourse called the Liao River winds its way into the shallow Bohai Sea. As it approaches the coast, the surrounding terrain flattens out, and it spreads out to form a vast tidal wetland. One corner of this marsh has become famous for its stunning flora: Red Beach.  T...(more)"
"Are humans the only animals which are known to intentionally blow themselves up?",https://www.quora.com/Are-humans-the-only-animals-which-are-known-to-intentionally-blow-themselves-up,3726,106,Oct 1,https://qph.fs.quoracdn.net/main-qimg-aa32aee8e1cd18a01c28806a7173cb92-lq,"Surprisingly, no. In fact, there's a whole zoological term for the act of intentionally causing oneself to explode: autothysis. This behaviour is observed in two different groups of animals - ants and termites.  Both are eusocial insects, meaning that most individuals do not reproduce, and are thus ge...(more)"
"What are some living biological mysteries?",https://www.quora.com/What-are-some-living-biological-mysteries,2414,75,Updated Sep 28,https://qph.fs.quoracdn.net/main-qimg-1dfe94e9a13a13e9732e926a1a785921-lq,"One of zoology's greatest unsolved mysteries surrounds the obscure facetotectans. They are a subset of crustaceans, and have been found in all the world's oceans, from the Arctic to the tropics. Eleven different species are known thus far, but it's likely if not certain that more remain undiscovered...(more)"
"What is so special about the Saharan silver ants?",https://www.quora.com/What-is-so-special-about-the-Saharan-silver-ants,12607,187,Updated Sep 27,https://qph.fs.quoracdn.net/main-qimg-216595d8aad1742e5f5bcf97f3807f2a,"I did promise you guys that I'd write a full answer on Saharan silver ants, and it appears one of my readers has gone to the trouble of asking me the question for it! These ants are truly remarkable creatures, easily one of the most interesting species in an already fascinating group. They can be fou...(more)"
"Which birds are more strange than most people realize?",https://www.quora.com/Which-birds-are-more-strange-than-most-people-realize,7694,230,Sep 22,https://qph.fs.quoracdn.net/main-qimg-da4bee84502c669d0dff08f0a880206b-lq,"I'm gonna have to go with hummingbirds. You may well have seen some firsthand, and while they are generally considered novel creatures, I don't think many are aware of just how bizarre they really are.  First and foremost, there's their metabolism. Hummingbirds have the fastest metabolic rate of any a...(more)"
"What are the weirdest butterflies?",https://www.quora.com/What-are-the-weirdest-butterflies,1620,40,Sep 20,https://qph.fs.quoracdn.net/main-qimg-3d1ffaefec37c24d69ed8bb7bbc5bc98-lq,"Good question! I've already written a similar answer about caterpillars, but all of the ones I described were moths, not butterflies, so I won't be repeating myself. Let's begin. * The glasswing butterfly, a native of South and Central America. It has an incredible camouflage strategy; rather than usin...(more)"
"What are some interesting facts about the Sahara desert?",https://www.quora.com/What-are-some-interesting-facts-about-the-Sahara-desert,7071,167,Sep 17,https://qph.fs.quoracdn.net/main-qimg-709a01bc66662007c78247db2799140f,"The Sahara is unimaginably vast; spanning some 9 million square kilometres, it's the world's largest desert outside those of the polar regions. Thus, as you would expect, there's an awful lot of interesting stuff going on inside it. For this answer I've picked only the most fascinating tidbits I cou...(more)"
"What is the best dinosaur? Why?",https://www.quora.com/What-is-the-best-dinosaur-Why,276,11,Sep 14,https://qph.fs.quoracdn.net/main-qimg-a69bbb76110633401655336c4e7362ab-lq,"Originally answered: What is the coolest or most interesting dinosaur yet discovered? Among the extinct, non-bird dinosaurs, I think there are five main contenders for this title, species and/or groups which are a cut above the rest in terms of uniqueness. First of all, we've got the wacky and wonder...(more)"
"Why among all the living species on this planet, only humans care about their body, beautify it, and transform it?",https://www.quora.com/Why-among-all-the-living-species-on-this-planet-only-humans-care-about-their-body-beautify-it-and-transform-it,602,42,Sep 12,https://qph.fs.quoracdn.net/main-qimg-f00cb4267bb3def407923cc6f05bffe5-lq,"There are innumerable species which care very much about the appearance of their body. In most animals, one sex tends to be picky about who they mate with. This is generally the females - since they bear the young, they invest a lot more energy into reproduction than the males, and thus ought to hav...(more)"
"What was Africa like during the ice age/pleistocene? We usually never hear about Africa at this time.",https://www.quora.com/What-was-Africa-like-during-the-ice-age-pleistocene-We-usually-never-hear-about-Africa-at-this-time,1176,52,Sep 9,https://qph.fs.quoracdn.net/main-qimg-d8c15aed51ffa56e780e612a9517bf64-lq,"Out of the six inhabited continents of the world, Africa and its wildlife have been the least damaged by the end-Pleistocene extinction. This is likely due to the fact that African fauna evolved alongside human hunter-gatherers, and, thus, prey animals were already adapted to coexisting with Homo sa...(more)"
"Which island has the most unusual plant life?",https://www.quora.com/Which-island-has-the-most-unusual-plant-life,4325,160,Sep 5,https://qph.fs.quoracdn.net/main-qimg-fb533fab61ae1b51ba223d5395f22834,"The obvious choice would be Socotra, that little Yemeni isle off the Horn of Africa, home to the iconic dragon's blood tree. However, I think there's another island which has even more interesting flora - New Caledonia. Sitting in the South Pacific, well over a thousand kilometres from the nearest m...(more)"
"Aside from human beings, do any land animals ride other animals for transportation?",https://www.quora.com/Aside-from-human-beings-do-any-land-animals-ride-other-animals-for-transportation,692,26,Sep 3,https://qph.fs.quoracdn.net/main-qimg-b7d8770e9af7acbb65aff00fa55a2efb-pjlq,"Yes, this is surprisingly common in nature! Here are some of my favourite examples. First of all, leafcutter ants. Chances are you've heard of them; they harvest blades of grass and leaves, carry them back to the nest in an orderly line, and feed them to underground colonies of fungus, which in turn...(more)"
"What are the stories about extinct animals by the people of the time?",https://www.quora.com/What-are-the-stories-about-extinct-animals-by-the-people-of-the-time,2135,55,Aug 31,https://qph.fs.quoracdn.net/main-qimg-582835e88f82c0ece25d8c5e83edf897,"Up until around 11,000 years ago, the world was a very different place than what it is today. Countless varieties of giant animals, collectively known as the Pleistocene megafauna, roamed many corners of the globe. Sadly, virtually all of this megafauna is now extinct, with Africa really being the o...(more)"
"What examples can you think of where two animals are at least somewhat closely related but have a huge size difference?",https://www.quora.com/What-examples-can-you-think-of-where-two-animals-are-at-least-somewhat-closely-related-but-have-a-huge-size-difference,1603,40,Aug 29,https://qph.fs.quoracdn.net/main-qimg-df640464a17d264efaed32c3f03cf894-pjlq,"Over 50,000 years ago, a massive beast roamed the forests and plains of India, China and Japan. Its name was the Asian straight-tusked elephant, or Palaeoloxodon namadicus, and it may well have been the largest land mammal ever to walk the Earth. P. namadicus has been estimated to have stood more tha...(more)"
"What are some of the best examples of photography done by children?",https://www.quora.com/What-are-some-of-the-best-examples-of-photography-done-by-children,157,8,Aug 28,https://qph.fs.quoracdn.net/main-qimg-1b2a8e83e22a8b5492d35564263b5d28-pjlq,"I always enjoy seeing the winners of the annual Wildlife Photographer of the Year Competition, which is held by London's Natural History Museum. There are many categories, but the two big ones are the overall title and the Young Wildlife Photographer of the Year. The top entries in the latter categor...(more)"
"What is the scariest fish in the world?",https://www.quora.com/What-is-the-scariest-fish-in-the-world,2109,86,Aug 27,https://qph.fs.quoracdn.net/main-qimg-51a009613aa191b54a8389b847a7cb7c-lq,"The stomiiforms are what immediately jump to mind, for me at least. This is not a single species of fish, but rather a whole order of species, comprising over 400 known types. As you would expect, they all dwell in the deep sea, which means there are probably plenty more stomiiforms to be discovered...(more)"
"What is the largest terrestrial arthropod that is commonly eaten by humans?",https://www.quora.com/What-is-the-largest-terrestrial-arthropod-that-is-commonly-eaten-by-humans,2526,89,Aug 26,https://qph.fs.quoracdn.net/main-qimg-489cbd5d0c7d181f834cf87cbf137387-lq,"That would be the coconut crab. It's not only the largest terrestrial arthropod commonly eaten by humans, but it's the largest terrestrial invertebrate, full stop.  This colossal crustacean can weigh up to four kilograms, and its leg span measures a metre across! When coconut crabs start out in life,...(more)"
"Why don't we see more exotic birds in the US seeing as they can fly anywhere in the world and there are likely suitable climates for them in at least one of the states?",https://www.quora.com/Why-don-t-we-see-more-exotic-birds-in-the-US-seeing-as-they-can-fly-anywhere-in-the-world-and-there-are-likely-suitable-climates-for-them-in-at-least-one-of-the-states,401,48,Aug 25,https://qph.fs.quoracdn.net/main-qimg-ea56f32ec638b5d50130d1bc157936ba-lq,"What you're probably thinking of when you say 'exotic birds' are the colourful, flamboyant avians of the Amazon Rainforest or Indonesia. There's a reason why you see more of them in those locations - vibrant animals generally tend to be more abundant in tropical rainforest environments.  There are a c...(more)"
"What are the weirdest things people have done in the name of science?",https://www.quora.com/What-are-the-weirdest-things-people-have-done-in-the-name-of-science,1526,17,Aug 24,https://qph.fs.quoracdn.net/main-qimg-b4ae2b06b1abee1fa1362ad9a9360ccc-pjlq,"Yi-Te Lai is a Taiwanese parasitologist (parasite biologist) who studies leeches. In 2019, while writing a paper on a poorly-understood leech known as Dinobdella ferox, Lai went above and beyond expectations to advance our knowledge of the species.  Dinobdella ferox is a member of the praobdellids, a...(more)"
"What are the most interesting bivalves?",https://www.quora.com/What-are-the-most-interesting-bivalves,826,45,Updated Aug 23,https://qph.fs.quoracdn.net/main-qimg-ad2d79d0d139e3bcf7bf726fc5f16d4a-lq,"You've probably eaten more than a few bivalves in your lifetime - clams, mussels, oysters, scallops and the like - but I doubt you know just how diverse these animals are. The bivalve class - represented by aquatic, filter-feeding molluscs with hinged shells - contains over 9,200 known species, foun...(more)"
"If wild animals, both predators and prey adapted their appearance to be a camo in their natural habitats, why are none of them green?",https://www.quora.com/If-wild-animals-both-predators-and-prey-adapted-their-appearance-to-be-a-camo-in-their-natural-habitats-why-are-none-of-them-green,5066,135,Aug 21,https://qph.fs.quoracdn.net/main-qimg-7fa150956f560c5273664f52daa78949-lq,"Our perception of colour is different to that of other animals, and that's important to keep in mind. Take placental mammals, for example. To a deer in a lush forest, a prowling tiger would not appear orange. If it did, it wouldn't be very good at ambushing its prey. Rather, the deer would perceive t...(more)"
"Are there any extant flightless warblers or other species of small songbirds unable to fly?",https://www.quora.com/Are-there-any-extant-flightless-warblers-or-other-species-of-small-songbirds-unable-to-fly,307,22,Aug 20,https://qph.fs.quoracdn.net/main-qimg-7c42f729546261464db1a7cd0848b505-lq,"So, the biggest, most diverse group of birds is the perching birds, or passerines. In fact, nearly two thirds of all birds are passerines - they include wrens, robins, sparrows, finches... most of the feathered friends we see from day to day. The perching birds can be divided into two subgroups - the s...(more)"
"What is the most intelligent fish?",https://www.quora.com/What-is-the-most-intelligent-fish-1,1232,38,Aug 19,https://qph.fs.quoracdn.net/main-qimg-c471644d5d0079496ca01c5ed6c5dded-lq,"Manta rays are a strong candidate for this title. They have one of the highest brain mass to body mass ratios of any fish. While this figure - the 'encephalization quotient' - can be unreliable when comparing very different types of animals, when you contrast manta rays with other fish it's clear th...(more)"
"What are some interesting facts about any of the islands in Australia's Gulf of Carpentaria, or the gulf itself? Unlike Australia's southern island of Tasmania, these northern islands are rarely heard of.",https://www.quora.com/What-are-some-interesting-facts-about-any-of-the-islands-in-Australias-Gulf-of-Carpentaria-or-the-gulf-itself-Unlike-Australias-southern-island-of-Tasmania-these-northern-islands-are-rarely-heard-of,660,24,Aug 17,https://qph.fs.quoracdn.net/main-qimg-9740e827872d6f1888772bf9f4890547-lq,"The Gulf of Carpentaria is a large, shallow bay in the north of Australia, near the island of New Guinea. For me, the most interesting thing about it is its unique weather conditions. For rather mysterious reasons, the Gulf is the only place on Earth where so-called Morning Glory clouds regularly and...(more)"
"What is the most interesting mite?",https://www.quora.com/What-is-the-most-interesting-mite,862,43,Aug 15,https://qph.fs.quoracdn.net/main-qimg-dbbe6d256a4952070003b3d002e895cd-lq,"I've written about a lot of super-obscure and seemingly drab animals before, but you could still be forgiven for assuming that I couldn't think of a single remotely interesting type of mite. And you'd be right. I can think of five.  First, Adactylidium. If you thought its name was a mouthful, just wai...(more)"
"Who is the greatest artist depicting extinct animals?",https://www.quora.com/Who-is-the-greatest-artist-depicting-extinct-animals,504,25,Aug 14,https://qph.fs.quoracdn.net/main-qimg-84d499cfc14922513f45583b1bdf3afe-lq,"When I think about the best paleoartists, or at least my personal favourite paleoartists, there are three names that immediately spring to mind. These guys have incredible talent; not only do they reconstruct animals with painstaking accuracy based on only skeletal remains, but they have creative ide...(more)"
"Are there any other types of mammoths except from the woolly mammoth?",https://www.quora.com/Are-there-any-other-types-of-mammoths-except-from-the-woolly-mammoth,599,40,Aug 13,https://qph.fs.quoracdn.net/main-qimg-f8f2b23f32d29484a1f55ca147198e89-lq,"Certainly! In the past five million years, there have been ten different species of mammoth, distributed across Africa, Europe, Asia and North America.  We have a surprisingly thorough understanding of how most of these species fit together, in evolutionary terms. They are as follows. * The South African...(more)"
"What is the largest animal a harpy eagle is capable of killing?",https://www.quora.com/What-is-the-largest-animal-a-harpy-eagle-is-capable-of-killing,554,24,Aug 12,https://qph.fs.quoracdn.net/main-qimg-9d0dfdff86b5c327c5f3021c323dfe9f-lq,"Based on maximum size, the harpy eagle is the largest eagle in the world - one massive captive female weighed in at over twelve kg. Wild individuals, however, rarely exceed nine (The lesser-known Steller's sea eagle is actually the biggest species in the wild). Nevertheless, a nine kg eagle is one da...(more)"
"What is the most unique national park within the continent of Africa?",https://www.quora.com/What-is-the-most-unique-national-park-within-the-continent-of-Africa,328,24,Aug 11,https://qph.fs.quoracdn.net/main-qimg-e7e12e144b968b3c0152a1e3d13cf4d3-lq,"Great question! Here are my top ten. * Tsingy de Bemahara National Park. Found in northwest Madagascar, this UNESCO World Heritage Site is famous for its extremely jagged landscape. Its endless cathedral-like spires of limestone have been gouged out by rain and groundwater over millennia. Because the s...(more)"
"What was the world like during the last Ice Age?",https://www.quora.com/What-was-the-world-like-during-the-last-Ice-Age,3284,145,Updated Aug 11,https://qph.fs.quoracdn.net/main-qimg-8b1520e867eaf77a3a4d508beb0cca83-lq,"Originally answered: What was America like during the last ice age? The most recent Ice Age occurred in the Pleistocene epoch, a time period which started about 2.6 million years ago and ended just ~11,000 years ago. Though it wasn't very long ago, the world looked very different back then - the wild...(more)"
"What is the cutest animal that no one knows about?",https://www.quora.com/What-is-the-cutest-animal-that-no-one-knows-about,442,26,Aug 2,https://qph.fs.quoracdn.net/main-qimg-df84971de6ae6059f65179f94dc27ed4-lq,"There are plenty of great choices one could make here, but I think I'm going to go with the raccoon dog. It's not the most obscure animal I've written about by any means, but it's not as well known as it ought to be for sure.  Needless to say, they are really damn cute.    The raccoon dog is so named beca...(more)"
"Can a wolverine kill a wolf?",https://www.quora.com/Can-a-wolverine-kill-a-wolf,444,20,Jul 28,https://qph.fs.quoracdn.net/main-qimg-95c6ebd78fb8c4575adb170acc5e0514-lq,"The largest known wolverines have been measured to weigh in at over 30 kg, making them the largest land-dwelling mustelids, with one freak specimen reportedly being 35 kilos. They have an incredibly thick and cold-resistant coat, which is coated in hydrophobic oils, and their huge upper molars curve...(more)"
"Do sharks and crocodiles ever cohabitate?",https://www.quora.com/Do-sharks-and-crocodiles-ever-cohabitate,1242,41,6mo,https://qph.fs.quoracdn.net/main-qimg-5aedb0f2a5128c11b0b02dd1f5634467-lq,"For sure. Both types of animals are spread widely across the world, especially in more equatorial latitudes, and there are environments where they might indeed encounter one another. Usually, these direct interactions end in one predator being eaten by the other. Out of all the crocodilian species, s...(more)"
"Is the blue whale the biggest animal to ever exist?",https://www.quora.com/Is-the-blue-whale-the-biggest-animal-to-ever-exist,1752,24,6mo,https://qph.fs.quoracdn.net/main-qimg-2446fcdfa2d3d693c93cebb5f6c64caf-lq,"At least as we currently understand it, most likely yes. The largest recorded blue whales weighed approximately 190,000 kilograms and measured 29.9 metres in length. Keep that in mind. There are two animals which at least some scientists have proposed could have equaled or even exceeded its mass. The...(more)"
"What modern-day ecosystems are like prehistoric relics?",https://www.quora.com/What-modern-day-ecosystems-are-like-prehistoric-relics,1946,70,6mo,https://qph.fs.quoracdn.net/main-qimg-1dbf7173588d06e7937509bded1fa09d-lq,"There are some places in this world where, through geographical isolation or exceptionally stable climate conditions, flora and fauna largely extinct elsewhere have persisted for thousands, or often millions, of years. That's not to say these organisms haven't evolved at all, but rather that the lin...(more)"
"Why are humans so varied in our physical form (skin, facial bone structures, heights) other than any other species?",https://www.quora.com/Why-are-humans-so-varied-in-our-physical-form-skin-facial-bone-structures-heights-other-than-any-other-species,740,43,6mo,https://qph.fs.quoracdn.net/main-qimg-282691b0dcd65b50aa2dacf49fa5f223-lq,"Up to 2 per cent of the population is thought to be affected by a neurological disorder known as prosopagnosia, or face blindness. These people cannot differentiate between the facial features of others, including close relatives, friends, and even themselves, despite having perfect vision. They gen...(more)"
"What cultures have interesting animal-related rituals?",https://www.quora.com/What-cultures-have-interesting-animal-related-rituals,416,9,6mo,https://qph.fs.quoracdn.net/main-qimg-f97cbb7481ff429b1f56bd63adc11f10-lq,"I've written about quite a few such rituals before - from hyena feeding to wearing gloves made of stinging ants. This time, though, there's another old tradition I think deserves a mention. In northern India, there exists an obscure community of Muslim people known as the Mirshikar. The vast majority...(more)"
"The Mesozoic Era was the "golden age" of marine reptiles. Did marine mammals ever have a similar period of dominance?",https://www.quora.com/The-Mesozoic-Era-was-the-golden-age-of-marine-reptiles-Did-marine-mammals-ever-have-a-similar-period-of-dominance,844,41,6mo,https://qph.fs.quoracdn.net/main-qimg-c3eb4dea382a924d4c438a91faf8a93d-pjlq,"The closest thing, I think, would be the Miocene epoch, which occurred roughly from 23 million years ago to 5 million years ago. To me, this is one of the most interesting time periods of all for many reasons, including the fact that it had a huge diversity of mammal life in the oceans. As Antarctica...(more)"
"Which animal seems like it should have been extinct a long time ago?",https://www.quora.com/Which-animal-seems-like-it-should-have-been-extinct-a-long-time-ago,5003,109,6mo,https://qph.fs.quoracdn.net/main-qimg-a10de636331f5c0e6ac3be9dd7c1f7c4-lq,"The giant panda. Tireless panda conservation efforts are beginning to work their magic on the species' population, but it can't be denied that the bear doesn't do itself any favours when it comes to not going extinct.  Firstly, it has a highly specialized diet, effectively consuming only bamboo, a foo...(more)"
"Why are Kodiak bears so freaking huge despite that they don't really eat that much, and why do they only exist in Alaska?",https://www.quora.com/Why-are-Kodiak-bears-so-freaking-huge-despite-that-they-don-t-really-eat-that-much-and-why-do-they-only-exist-in-Alaska,3820,106,7mo,https://qph.fs.quoracdn.net/main-qimg-7d51f3d4464ef4f373778d3a61beaabd,"So, the Kodiak brown bear is a subspecies found only on the Kodiak Archipelago, a scattering of islands off the southern coast of Alaska. Out of the sixteen living varieties of brown bear, it is the largest - one captive individual was estimated to have weighed a mind-numbing 1,089 kilograms. Wild Ko...(more)"
"What is that bird?",https://www.quora.com/What-is-that-bird-2,117,8,7mo,https://qph.fs.quoracdn.net/main-qimg-ade437e321e2927d0420c972e87c3a25-lq,"The bird in your photo is a violaceous turaco, whose scientific name is, well... Turaco violaceus.  Here's the bird OP saw, for comparison, for those reading this in their feed:  I've written about turacos quite a few times before, and they really are amazing. There are over 20 species, all found only in...(more)"
